claim_id,evidence_refs,statement,evidence_kind,actakit_implication
AKS-C049,AKS-S036,"Full-text search is a rebuildable retrieval index, not evidence authority.",supports,Treat FTS as projection/index that can be rebuilt from canonical text/claims.
AKS-C050,AKS-S037,SQLite can enforce a stricter relational baseline than loose dynamic typing suggests.,supports,Use explicit columns/FKs/constraints; reserve JSON for versioned extensible payloads such as locators.
AKS-C124,AKS-S092,"WAL is same-machine only, permits one writer and can grow under long readers/checkpoint starvation.",scar,"Use local attached storage, one canonical writer path, short transactions/read snapshots and explicit checkpoint monitoring."
AKS-C125,AKS-S093,Foreign-key enforcement must be explicitly enabled on each SQLite connection.,scar,Connection bootstrap must set/verify required PRAGMAs before any canonical read/write service starts.
AKS-C126,AKS-S094,A live SQLite database requires the backup API or equivalent consistent snapshot mechanism rather than naive file copying.,supports,"Backup/restore design is part of storage correctness, not an afterthought."
AKS-C127,AKS-S095,Recent SQLite releases have fixed WAL/concurrency corruption and deadlock defects.,scar,Declare/test a minimum SQLite version and include upstream defect history in upgrade policy.
AKS-C128,AKS-S036,External/contentless FTS indexes can diverge from authoritative content unless maintained and checked.,limits,FTS stays rebuildable and integrity-checkable; never make it canonical evidence/claim storage.
AKS-C131,AKS-S037,"In STRICT tables, every PRIMARY KEY component is implicitly NOT NULL, so a nullable semantic field cannot also serve as a primary-key component.",scar,Use stable row identity or non-null keys for links whose role/mention fields are genuinely optional; do not encode optionality into a composite PRIMARY KEY.
AKS-C132,AKS-S098,SQLite logical deletion does not by itself guarantee removal of recoverable prior content from the database file.,scar,A purge contract must include database-level scrubbing such as secure_delete/VACUUM semantics and must not equate DELETE with physical erasure.
AKS-C133,"AKS-S099,AKS-S098",FTS5 deletion requires its own secure-delete behavior in addition to SQLite core secure_delete if old indexed terms must not remain recoverable.,scar,Purge must explicitly scrub FTS projections; ordinary FTS maintenance is insufficient for sensitive deletion.
AKS-C134,"AKS-S095,AKS-S092","The WAL-reset corruption bug affects WAL builds through SQLite 3.51.2 and is fixed in 3.51.3 and later, making the runtime version floor part of durability rather than convenience.",scar,"Treat 3.51.3 as the upstream WAL-fix boundary, not by itself as the final support-set rule; release withdrawal/maintenance status must also constrain the baseline."
AKS-C135,"AKS-S036,AKS-S099","External-content FTS requires application-maintained consistency, while contentless variants trade away content access/rebuild behavior; a normal self-content FTS table can be the simpler disposable projection at canton scale.",limits,Prefer ordinary FTS5 projection tables rebuilt from canonical rows; pay small duplicate-text cost to reduce rowid coupling and projection-maintenance complexity.
AKS-C136,AKS-S035,SQLite recursive CTE semantics distinguish UNION duplicate suppression from UNION ALL retention; the documented graph traversal uses UNION to prevent cycle repetition.,supports,"Treat ClaimRelation as a multigraph: deduplicate node reachability while preserving edge identity in path/edge queries, with explicit depth/result bounds."
AKS-C137,"AKS-S100,AKS-S095",A numeric minimum of 3.51.3 would admit withdrawn 3.52.0; the current 3.53 maintenance line is the clean initial support baseline for a new no-legacy deployment.,scar,"Set the initial candidate floor to SQLite 3.53.4, the current stable maintenance release at review time; certify the exact packaged runtime/source ID and required compile options rather than relying only on numeric comparison."
