claim_id,evidence_refs,statement,evidence_kind,actakit_implication
AKS-C009,"AKS-S010,AKS-S011",A URL/resource identity is distinct from a capture at a particular time and from the bytes returned by that capture.,supports,Source -> Acquisition -> Artifact remains a correct minimal boundary.
AKS-C011,"AKS-S012,AKS-S013",Legal-document standards repeatedly separate abstract/document identity from version/content and physical format.,supports,Keep CivicDocument separate from Representation and Artifact.
AKS-C015,"AKS-S015,AKS-S016,AKS-S019","A relationship should become a first-class association/event when the relationship itself has role, time, percentage, amount or other attributes.",supports,Add an explicit future promotion rule; do not force rich relations into ClaimRelation payload JSON.
AKS-C017,"AKS-S017,AKS-S020",Atomizing all knowledge into property/value statements gives strong machine structure but can make human-verifiable propositions unwieldy.,limits,"Keep Claim as a readable proposition; structured fields are auxiliary, not its replacement."
AKS-C021,"AKS-S021,AKS-S022,AKS-S023",Entity reconciliation should preserve the raw source mention independently from the resolved canonical entity.,supports,Introduce/fixture EntityMention or equivalent unresolved-mention record before SQL.
AKS-C026,"AKS-S025,AKS-S027,AKS-S028",Mature document systems keep source files distinct from OCR/annotations/derived modifications.,supports,Original artifact remains custody object; claims/annotations/representations live separately.
AKS-C027,"AKS-S025,AKS-S026",Document typing is useful but should be optional when it adds no value; tags/templates can carry local structure.,supports,Unknown/other is normal; profiles opt in to stronger semantics.
AKS-C028,"AKS-S025,AKS-S022,AKS-S028",Bulk operations are normal operator workflow in mature tools.,supports,"Batch/supervised review is a 1.0 capability, without requiring ReviewBatch as canonical entity."
AKS-C029,"AKS-S027,AKS-S028","A useful evidence citation should reopen the exact page/region/context, not merely name a document.",supports,Mesa de control should navigate from claim to source context directly.
AKS-C031,"AKS-S029,AKS-S035,AKS-S036","SQLite can support recursive relation traversal, FTS, filtering and broad read-only query workloads.",supports,SQLite remains justified baseline; no graph/search server required initially.
AKS-C035,"AKS-S033,AKS-S034",Spatial/temporal/page targeting and OCR coordinate models already exist and align with Web Annotation.,supports,Use adapters/mappings for IIIF/ALTO where sources provide them; do not invent competing coordinate semantics.
AKS-C038,"AKS-S003,AKS-S024",Heuristic segmentation can look plausible while producing contaminated or incorrect document units.,supports,Document segmentation/profile parsing needs evidence-backed correctness fixtures and fail-loud behavior.
AKS-C040,"AKS-S002,AKS-S006",Evidence provenance should support reevaluation when processing improves.,supports,Representation/process lineage must remain queryable enough to rerun extraction without rewriting source history.
AKS-C041,"AKS-S004,AKS-S035",Graph-shaped semantics do not require graph-optimized storage when traversal is bounded.,supports,Keep ClaimRelation explicit and bounded; graph DB is horizon only if measured workloads demand it.
AKS-C042,"AKS-S019,AKS-S016","Simple direct relation and rich relation-object are complementary patterns, not competing universal models.",supports,Use ClaimRelation for simple proposition links; promote rich relation when relation carries independent civic meaning.
AKS-C043,"AKS-S021,AKS-S022,AKS-S023","Unresolved identity is legitimate data, not an ingestion failure.",supports,Allow raw mentions with no entity_id and later reconciliation.
AKS-C044,"AKS-S010,AKS-S024",Operational observation state should not be interpreted as civic truth about absence.,supports,A failed/missing acquisition observation never deletes or negates prior records.
AKS-C045,"AKS-S025,AKS-S029",One local canonical store plus read-only projections is operationally proven at scales well above a canton.,supports,Keep one SQLite authority and disposable FTS/read/output projections.
AKS-C046,"AKS-S004,AKS-S032",Interoperability can be expressed at boundaries without making the internal store speak every external standard.,supports,Define mappings/export profiles; keep internal model small.
AKS-C047,"AKS-S012,AKS-S014,AKS-S017,AKS-S019","The external ecosystem offers several graph/ontology/document models, none of which is a clean wholesale fit for ActaKit.",synthesis,"ActaKit should be standards-informed, not standards-stacked."
AKS-C048,"AKS-S025,AKS-S026,AKS-S028","A 1–2 operator workflow benefits more from bulk review, search, reopen-source, and correction than enterprise role hierarchies.",supports,Single-operator-first remains correct.
AKS-C051,"AKS-S028,AKS-S025",Processing can be rerun independently from document identity and original custody.,supports,Process provenance should not make a new CivicDocument every time OCR/model changes.
AKS-C052,"AKS-S010,AKS-S011",Repeated observations of identical content are meaningful even when no new bytes need to be stored.,supports,Each successful capture keeps its own Artifact custody identity while equal content may reuse one physical ArchiveObject.
AKS-C053,"AKS-S008,AKS-S009",Internal preservation layout and external transfer package solve different problems.,supports,Do not force BagIt/OCFL as the SQLite domain model.
AKS-C055,"AKS-S022,AKS-S025",Bulk review can preserve per-record provenance without a permanent batch object.,supports,One command/action may write many individual review decisions atomically.
AKS-C056,"AKS-S024,AKS-S003",Parser success is not semantic correctness.,supports,"Test exact fixtures and expected structured outputs, not only no-exception/valid-schema."
AKS-C136,AKS-S008;AKS-S010;AKS-S011,Physical content identity and acquisition/custody identity answer different questions even when byte deduplication is desirable.,synthesis,Separate ArchiveObject content-addressed bytes from per-acquisition Artifact custody identity.
AKS-C137,AKS-S008;AKS-S094;AKS-S098;AKS-S099,"A defensible purge spans canonical/derived records, SQLite free-page behavior, FTS shadow indexes, archive bytes and declared backup scope rather than one DELETE operation.",synthesis,Freeze exact purge targets and report erasure boundaries explicitly; never equate logical deletion with corpus-wide physical erasure.
