source_id,book_id,title,class,locator
AKS-S001,method,Stereo Research Package Protocol,local method,local: stereo bundle / notebook/research/PACKAGE_PROTOCOL.md
AKS-S002,method,Plaza Principles,local method,local: Plaza-main.zip / docs/PRINCIPLES.md
AKS-S003,method,Plaza Correctness Audit Report,local scar,local: Plaza-main.zip / demo/research/source_audits/CORRECTNESS_AUDIT_REPORT.md
AKS-S004,web-annotation,W3C Web Annotation Data Model,standard,https://www.w3.org/TR/annotation-model/
AKS-S005,web-annotation,W3C Selectors and States / Annotation model selector sections,standard,https://www.w3.org/TR/annotation-model/#selectors
AKS-S006,prov,PROV-O,standard,https://www.w3.org/TR/prov-o/
AKS-S007,premis,PREMIS 3.0,standard,https://www.loc.gov/standards/premis/v3/premis-3-0-final.pdf
AKS-S008,ocfl,Oxford Common File Layout 1.1,standard,https://ocfl.io/1.1/spec/
AKS-S009,bagit,BagIt RFC 8493,standard,https://www.rfc-editor.org/rfc/rfc8493.html
AKS-S010,warc,WARC 1.1,standard,https://iipc.github.io/warc-specifications/specifications/warc-format/warc-1.1/
AKS-S011,memento,Memento RFC 7089,standard,https://www.rfc-editor.org/rfc/rfc7089.html
AKS-S012,akoma-ntoso,Akoma Ntoso 1.0,standard,https://docs.oasis-open.org/legaldocml/akn-core/v1.0/
AKS-S013,eli,European Legislation Identifier (ELI),standard,https://eur-lex.europa.eu/eli-register/about.html
AKS-S014,records-in-contexts,Records in Contexts Conceptual Model / Ontology,standard,https://www.ica.org/app/uploads/2023/12/RiC-CM-1.0.pdf
AKS-S015,popolo,Popolo specification,standard/community spec,https://www.popoloproject.com/specs/
AKS-S016,w3c-org,W3C Organization Ontology,standard,https://www.w3.org/TR/vocab-org/
AKS-S017,wikidata,Wikidata Statements,operational knowledge base,https://www.wikidata.org/wiki/Help:Statements
AKS-S018,wikidata,Wikidata Qualifiers / Data Model,operational knowledge base,https://www.wikidata.org/wiki/Wikidata:Data_model
AKS-S019,followthemoney,FollowTheMoney,operational data model,https://followthemoney.tech/docs/
AKS-S020,followthemoney,FollowTheMoney Statements,operational data model,https://followthemoney.tech/docs/statements/
AKS-S021,opensanctions,OpenSanctions identifiers and de-duplication,operational system,https://www.opensanctions.org/docs/identifiers/
AKS-S022,openrefine,OpenRefine Reconciliation,operational tool,https://openrefine.org/docs/manual/reconciling
AKS-S023,openstates,Open States data model,operational civic system,https://docs.openstates.org/
AKS-S024,openstates,Open States scraper testing guidance,operational scar,https://docs.openstates.org/contributing/testing-scrapers/
AKS-S025,paperless-ngx,Paperless-ngx usage/configuration,operational system,https://docs.paperless-ngx.com/usage/
AKS-S026,tropy,Tropy documentation,operational tool,https://docs.tropy.org/
AKS-S027,zotero,Zotero PDF reader / annotations,operational tool,https://www.zotero.org/support/pdf_reader
AKS-S028,documentcloud,DocumentCloud API / notes,operational system,https://www.documentcloud.org/help/api/
AKS-S029,datasette,Datasette,operational tool,https://docs.datasette.io/en/stable/
AKS-S030,frictionless-data-package,Data Package / Frictionless,standard/community spec,https://datapackage.org/
AKS-S031,skos,SKOS Reference,standard,https://www.w3.org/TR/skos-reference/
AKS-S032,shacl,SHACL,standard,https://www.w3.org/TR/shacl/
AKS-S033,iiif,IIIF Presentation API 3.0,standard,https://iiif.io/api/presentation/3.0/
AKS-S034,alto,ALTO,standard,https://www.loc.gov/standards/alto/
AKS-S035,sqlite,SQLite recursive CTEs,standard implementation docs,https://www.sqlite.org/lang_with.html
AKS-S036,sqlite,SQLite FTS5,standard implementation docs,https://www.sqlite.org/fts5.html
AKS-S037,sqlite,SQLite STRICT tables,standard implementation docs,https://www.sqlite.org/stricttables.html
AKS-S038,opensanctions,OpenSanctions Entity structure,operational system,https://www.opensanctions.org/docs/entities/
AKS-S039,opensanctions,OpenSanctions Statement data model,operational system,https://www.opensanctions.org/docs/statements/
AKS-S040,opensanctions,OpenSanctions monitoring / merge handling,operational system,https://www.opensanctions.org/docs/monitoring/
AKS-S041,openstates,Open States Data Types,operational civic system,https://docs.openstates.org/api-v2/types/
AKS-S042,openstates,Open States Categorization,operational civic system,https://docs.openstates.org/data/categorization/
AKS-S043,openstates,Open States Name Matching notes,operational civic system,https://docs.openstates.org/api-v2/other/#name-matching
AKS-S044,openrefine,OpenRefine Reconciliation API,operational tool / protocol,https://openrefine.org/docs/technical-reference/reconciliation-api
AKS-S045,paperless-ngx,Paperless-ngx REST API,operational system,https://docs.paperless-ngx.com/api/
AKS-S046,paperless-ngx,Paperless-ngx FAQ,operational system,https://docs.paperless-ngx.com/faq/
AKS-S047,paperless-ngx,Paperless-ngx Advanced Usage,operational system,https://docs.paperless-ngx.com/advanced_usage/
AKS-S048,zotero,Zotero annotations in database,operational tool,https://www.zotero.org/support/kb/annotations_in_database
AKS-S049,documentcloud,DocumentCloud FAQ,operational system,https://next.www.documentcloud.org/help/faq/
AKS-S050,documentcloud,DocumentCloud Add-Ons,operational system,https://next.www.documentcloud.org/help/add-ons/
AKS-S051,tropy,Tropy project view and metadata editing,operational tool,https://docs.tropy.org/in-the-project-view/view_photos
AKS-S052,tropy,Tropy metadata editing,operational tool,https://docs.tropy.org/in-the-project-view/add_metadata
AKS-S053,method,Stereo research transfer protocol,local method evidence,local: stereo bundle / notebook/research/TRANSFER_PROTOCOL.md
