pressure_id,area,target,required_boundary,books,mistake_avoided
AKP-001,Evidence targeting,EvidenceLink,Representation target + typed versioned selector bundle + optional state anchor,"web-annotation,iiif,alto,documentcloud,zotero",Avoid brittle page/offset-only citations and source mutation.
AKP-002,Document identity,CivicDocument/Artifact/Representation,"Separate logical document, acquired bytes and derived representations; identifiers are not filenames/numbers","akoma-ntoso,paperless-ngx,warc,memento","Avoid identity collapse when files are replaced, transformed or renamed."
AKP-003,Acquisition identity,Source/Acquisition/Artifact,Record each observation separately from URI and payload; same bytes may recur,"warc,memento,eli",Avoid treating URL or absence in one crawl as source truth.
AKP-004,Entity resolution,EntityMention/Entity,Preserve raw mention/source identifiers; reconciliation is later and reversible with merge/split lineage,"openrefine,openstates,opensanctions,wikidata",Avoid false identity merges and irreversible normalization.
AKP-005,Claim plurality,Claim/EvidenceLink/Assessment,Permit contradictory sourced claims; provenance/review/assessment remain separate dimensions,"wikidata,prov",Avoid single truth-row overwrites.
AKP-006,Relations,ClaimRelation/Association,Store direct semantic edges only; promote rich role/time/amount relations to typed association/event,"followthemoney,records-in-contexts,popolo,w3c-org,skos",Avoid generic nodes/edges and n-ary relation explosion.
AKP-007,Storage discipline,SQLite core,"FK/PRAGMA bootstrap, local attached storage, one writer path, short transactions, minimum version floor","sqlite,zotero,datasette,tropy","Avoid silent FK-off writes, network-filesystem corruption and concurrency surprises."
AKP-008,Search,FTS projection,FTS is rebuildable/non-authoritative and integrity-checkable,"sqlite,datasette",Avoid search index becoming evidence authority.
AKP-009,Backup/restore,Authority boundary,Consistent DB snapshot + originals + non-regenerable state; derived indexes/caches classified explicitly; purge/retention scope of historical backups named,"sqlite,paperless-ngx,zotero,bagit","Avoid stale live-file copy, incomplete backup, and false purge claims while old backup copies remain in scope."
AKP-010,Extensions/Outputs,Read boundary,Outputs read/query via bounded contracts; arbitrary SQL/filesystem/network access is not implicit,"datasette,frictionless-data-package",Avoid plugin bypass of permissions and SSRF/path exfiltration.
AKP-011,Parsing,Adapter/profile lifecycle,Generic acquisition can degrade; specialized parser must fail loudly on unexpected structure and record tool/profile version,"openstates,alto,warc",Avoid plausible but semantically wrong structured data.
AKP-012,Custody lifecycle,Artifact lifecycle,Immutable-by-default; redaction is derivative; purge exceptional and explicit with permissible tombstone/lineage plus SQLite/FTS/archive scrubbing semantics,"ocfl,documentcloud,premis","Avoid impossible eternal-retention promises, silent destructive edits, or equating logical DELETE with forensic erasure."
AKP-013,Profiles/taxonomies,Extensible validated profiles,Universal core small; local document profiles/tags versioned and validated; direct taxonomy edges only,"akoma-ntoso,tropy,skos,shacl",Avoid national closed ontology and arbitrary JSON payloads.
AKP-014,Review operations,Review history,Batch/supervised UX applies attributable per-record outcomes; validator/reconciliation result is not truth,"openrefine,paperless-ngx,shacl",Avoid click-per-claim bureaucracy or opaque batch authority.
